Barcode	T0	T48_postPURO	Day3_Met_A	Day3_Met_B	Day3_Met_C	Day3_A	Day3_B	Day3_C	Day6_Met_A	Day6_Met_B	Day6_Met_C	Day6_A	Day6_B	Day6_C
10208	3520	4283	2493	3998	3018	3393	3829	3474	2890	3776	5630	3500	3288	3640
10502	280	339	140	542	162	468	157	162	290	152	418	654	270	189
10796	1507	1533	1120	1125	1286	1136	1095	1214	127	395	625	452	378	842
11089	3797	4151	2296	3857	3645	3677	3124	3458	2321	3221	3461	3726	3104	2561
11382	717	644	564	336	256	554	590	735	319	106	401	127	403	666
11675	7330	7593	4927	6211	6504	7781	7183	8339	6914	7858	10189	10465	8601	9076
11969	4854	5371	4251	4921	5424	4627	3952	4944	4236	6174	5279	5160	4402	3472
12263	1539	1171	764	1258	923	1503	1150	1834	947	819	883	509	1159	1371
12555	4328	4051	3130	4720	4697	3870	3835	4201	5207	4333	5295	2927	3139	3804
12847	466	417	206	318	288	328	185	416	219	226	212	137	309	104
10209	6373	6116	3915	6270	5621	6388	4950	5140	4151	4574	5754	6377	6603	5646
10503	2384	2007	1430	2359	1701	1758	1791	1457	1755	1791	2330	1100	1888	1253
10797	1304	1274	976	1344	1888	1567	1965	1427	1469	3295	2868	2930	1623	1201
11090	931	1350	678	631	978	716	883	652	707	343	887	1175	1108	740
11383	3704	2611	2168	2164	3719	3293	2942	3681	3965	4834	3747	3310	3310	3696
11676	769	568	181	116	693	406	516	782	415	281	213	310	672	517
11970	865	357	479	383	860	550	442	789	207	280	398	462	145	555
12264	1320	1100	680	884	1277	1026	808	1400	1192	840	1044	993	501	1348
12556	625	632	1058	887	821	586	766	509	856	1141	1128	1101	866	1494
12848	3524	3378	2260	3473	3653	3131	2833	2874	2770	3075	4136	3066	3194	2014
10004	584	328	156	412	181	264	452	427	298	486	439	213	341	390
10298	756	652	846	514	1081	897	1090	653	875	986	1366	1515	786	774
10592	2048	2044	2060	1662	1379	2314	1979	3020	2166	2842	3434	2938	2496	2604
10886	638	156	382	667	745	506	366	560	456	306	687	403	287	492
11179	7272	6711	4741	6931	7858	5516	6250	6026	7649	9300	9279	6300	7005	7714
11472	2169	2194	1699	2101	1221	2025	2042	1955	1614	1722	2240	2029	1647	2034
11765	1066	830	358	615	588	557	348	839	219	219	693	479	148	320
