Barcode	T48_postPURO_B	T48_postPURO_C	Day7_DMSO_A	Day7_DMSO_B	Day7_DMSO_C	Day7_IACS_A	Day7_IACS_B	Day7_IACS_C	Day7_MET_A	Day7_MET_B	Day7_MET_C	Day7_DDP_A	Day7_DDP_B	Day7_DDP_C	Day7_2DG_A	Day7_2DG_B	Day7_2DG_C	Day7_VEN_A	Day7_VEN_B	Day7_VEN_C	T0	T48_postPURO_A	Day14_DMSO_A	Day14_DMSO_B	Day14_DMSO_C	Day14_IACS_A	Day14_IACS_B	Day14_IACS_C	Day14_MET_A	Day14_MET_B	Day14_MET_C	Day14_DDP_A	Day14_DDP_B	Day14_DDP_C	Day14_2DG_A	Day14_2DG_B	Day14_2DG_C	Day14_VEN_A	Day14_VEN_B	Day14_VEN_C	Day21_DMSO_A	Day21_DMSO_B	Day21_DMSO_C	Day21_IACS_A	Day21_IACS_B	Day21_IACS_C	Day21_MET_A	Day21_MET_B	Day21_MET_C	Day21_DDP_A	Day21_DDP_B	Day21_DDP_C	Day21_2DG_A	Day21_2DG_B	Day21_2DG_C	Day21_VEN_A	Day21_VEN_B	Day18_VEN_C
156	2169	2180	429	932	796	1207	916	1066	1433	1413	900	934	547	1321	972	1416	1276	971	683	1071	1530	1165	457	349	397	402	600	361	491	505	337	275	286	250	373	359	541	286	342	342	248	875	47	534	512	529	402	253	841	521	307	186	523	369	361	405	387	302
157	3846	5280	5531	4940	5954	6132	4660	5010	4926	5226	4885	8078	6935	5607	4448	5136	5177	6785	5495	5525	2388	1578	3107	3824	5242	3804	3110	2631	3006	3127	3599	3533	2852	3526	2579	2572	2416	2921	3564	3144	5655	5891	5130	4414	4799	4826	5930	5139	5677	4141	4907	5291	4331	3814	3098	4694	5467	4960
158	634	624	500	543	414	1175	896	803	865	914	624	1151	627	499	556	893	831	496	511	493	352	286	310	258	307	311	261	376	299	553	458	372	312	169	329	346	178	142	125	191	382	793	426	612	677	514	1173	1245	887	436	385	286	491	558	338	298	413	203
159	1963	4557	3674	3668	5114	3078	2892	3147	1596	4070	3403	5545	5147	3343	3585	3197	3968	4069	3081	4110	1953	1747	2339	1958	2694	2734	2012	1862	1561	1712	2153	2517	2029	2026	1764	1910	2277	1964	2018	1977	3807	3198	2718	2171	2438	2512	3910	4431	4311	5239	3589	4449	3770	3110	2213	2839	3898	3527
160	912	992	942	775	1361	816	1327	2336	1152	1176	1529	1234	1492	2062	1195	1506	1070	835	1213	1230	980	477	660	360	669	703	622	661	463	929	782	590	704	932	548	539	470	582	501	720	596	659	663	1032	745	730	786	1233	651	1142	1048	1032	1013	1092	719	835	635	624
449	4942	6196	7033	6125	8339	7861	6381	7301	5601	7730	7774	10820	6629	7690	5891	6909	6438	8057	6247	6827	3143	2706	3768	4342	6244	4284	3879	4183	3809	4395	4013	3515	2659	2461	2751	3275	3390	2769	2882	2809	5958	7837	5946	7453	7990	6879	7027	5960	7431	4180	4375	5188	4943	4566	3047	3319	4909	3176
450	985	1369	395	431	509	711	683	658	499	931	826	721	465	411	405	518	595	488	418	632	647	387	201	130	415	290	264	247	203	334	398	92	177	114	256	342	221	155	172	255	2	4	120	121	332	5	459	372	802	399	109	2	460	686	344	55	265	404
451	3314	5856	2094	1236	2480	2794	2400	2659	2536	2602	2830	2473	1497	2168	2088	2026	2274	1052	730	851	2587	1815	393	406	672	886	670	681	708	678	708	477	197	252	443	633	587	342	323	420	510	696	616	1153	739	1323	535	684	1004	406	630	428	731	717	373	441	541	647
658	885	700	830	496	789	1430	713	519	987	989	307	1591	1338	914	606	846	542	869	698	724	461	347	428	567	359	579	484	508	396	230	396	366	399	341	412	302	305	291	277	294	1033	631	382	731	516	515	678	390	181	447	432	220	523	398	222	361	285	201
659	3053	4810	5088	3055	4599	5231	3109	4524	2535	3919	3940	7387	5217	5351	3767	4251	4340	4943	4494	5483	2469	2073	2123	1752	2333	1878	1962	1819	1546	1647	1937	2259	1831	1671	1876	1855	2110	2025	2636	2081	2175	2134	2275	2294	1841	2335	3184	2393	2753	3525	2387	2209	2661	2973	2266	2866	3332	3278
27	4399	5549	5636	4734	6966	5333	4399	4381	4294	5680	6538	8941	6504	6813	5322	5722	4972	6520	6874	6631	2345	1606	3549	3155	3658	3791	2307	2383	3252	3393	3281	3830	3216	3359	2298	1999	1905	3783	3928	4535	5142	5515	5065	3120	3148	3327	5930	4898	5415	4274	4392	4049	3084	2791	1945	7178	7084	7951
28	718	812	967	1008	1064	1241	1599	1031	1610	1346	869	1542	1080	1115	646	1309	589	882	584	803	611	581	593	380	370	423	706	341	546	454	447	505	224	736	546	582	722	628	291	639	379	1180	896	402	324	474	775	714	628	1047	506	571	923	852	526	721	961	850
29	2869	3261	2091	2726	3275	3443	2832	3365	3821	3491	3343	4860	4797	2755	2788	3170	2873	2491	2132	2451	1806	1412	1703	1357	1448	1725	1607	1763	2235	1874	1432	1725	1771	1801	1787	1977	1707	1142	1387	1259	2006	2157	2146	2195	2959	3856	2912	2196	2051	2652	2333	2734	2995	2753	2043	1748	1703	1830
