Barcode	T48_postPURO_B	T48_postPURO_C	Day7_DMSO_A	Day7_DMSO_B	Day7_DMSO_C	Day7_IACS_A	Day7_IACS_B	Day7_IACS_C	Day7_MET_A	Day7_MET_B	Day7_MET_C	Day7_DDP_A	Day7_DDP_B	Day7_DDP_C	Day7_2DG_A	Day7_2DG_B	Day7_2DG_C	Day7_VEN_A	Day7_VEN_B	Day7_VEN_C	T0	T48_postPURO_A	Day14_DMSO_A	Day14_DMSO_B	Day14_DMSO_C	Day14_IACS_A	Day14_IACS_B	Day14_IACS_C	Day14_MET_A	Day14_MET_B	Day14_MET_C	Day14_DDP_A	Day14_DDP_B	Day14_DDP_C	Day14_2DG_A	Day14_2DG_B	Day14_2DG_C	Day14_VEN_A	Day14_VEN_B	Day14_VEN_C	Day21_DMSO_A	Day21_DMSO_B	Day21_DMSO_C	Day21_IACS_A	Day21_IACS_B	Day21_IACS_C	Day21_MET_A	Day21_MET_B	Day21_MET_C	Day21_DDP_A	Day21_DDP_B	Day21_DDP_C	Day21_2DG_A	Day21_2DG_B	Day21_2DG_C	Day21_VEN_A	Day21_VEN_B	Day18_VEN_C
12928	1476	2640	2535	2622	2456	2372	3027	2904	1346	2133	2241	4382	3453	3169	2111	1677	2302	2305	2052	2033	1257	1200	1521	1353	1620	2359	1624	1492	2128	2364	2214	1979	1686	2239	1049	1067	965	1657	1479	1373	2084	1209	1667	2366	2486	1608	3370	2568	3462	3407	2412	3823	1435	1343	782	1824	2832	1925
13047	1499	2235	1372	1390	1164	2009	1217	1414	2234	1415	1251	2343	2344	1445	1534	1463	1576	1443	932	1736	1083	623	741	479	648	879	922	543	1237	738	629	841	684	1041	681	611	573	683	249	640	1026	684	449	415	823	431	526	844	823	1007	1318	1091	952	913	498	434	574	363
13166	526	814	617	392	586	826	156	132	483	315	451	880	568	650	401	233	813	503	313	489	367	236	253	209	426	298	287	242	274	318	247	330	197	270	284	276	222	164	91	214	282	337	262	653	31	589	341	264	134	195	518	124	284	323	216	269	233	205
13285	2070	2468	1792	1584	2189	3031	1266	2149	2513	2559	2447	2700	1661	1706	1771	2145	1565	902	994	1111	1784	944	389	400	702	998	695	739	1189	1321	1468	411	545	407	566	560	572	278	352	321	459	155	198	842	667	1059	833	1457	1216	641	495	413	726	447	387	388	328	475
13403	1053	2395	2011	1797	1453	2276	1472	2592	1210	2163	1035	2360	1856	1340	1657	1945	1975	1996	1689	2198	958	897	1184	798	805	1068	700	693	555	1150	931	1084	1052	1271	578	958	1055	1013	939	982	963	964	1173	945	1219	909	1381	1093	1904	1358	1315	1361	1205	1133	842	1712	1993	2231
13521	1613	4330	1980	1959	3197	3007	3047	2172	2865	2981	2639	3482	2095	1874	2597	2323	2749	2653	2157	2255	1977	969	1117	1120	1264	1698	1719	1257	1961	1653	1544	1538	1098	1693	1167	1001	812	1286	1544	1240	2005	2100	1452	2049	2115	2391	3576	3676	4075	2692	2484	3524	1454	1033	760	1918	1883	1558
13639	693	1215	1514	1201	1836	1897	1520	1590	1133	1227	1063	2679	2625	1873	1652	872	1271	1713	1101	1522	601	378	995	773	1668	1316	950	819	670	671	579	1181	1326	1176	552	697	883	1006	740	690	1178	1254	1645	772	1000	959	856	526	695	2098	1471	1420	1334	972	774	1426	1916	1187
13758	116	169	179	154	68	157	45	175	240	225	186	157	48	42	150	4	105	100	56	75	172	143	21	76	74	0	55	119	133	37	82	57	52	61	80	40	101	40	5	0	138	276	0	66	0	0	27	2	1	115	1	147	99	157	76	0	79	0
13877	1600	2323	2742	2425	4129	4372	2961	3352	2992	3440	3785	3294	2956	2524	1918	2149	1900	3619	2671	3334	1078	788	1420	2160	1910	2414	2418	1846	3184	3180	2699	1207	1535	1507	833	803	791	2525	1908	2594	2482	2916	2801	3515	3482	3921	5377	7417	6640	1222	1119	1023	1044	1146	828	2446	3446	3390
13996	782	760	794	1003	1170	756	751	791	1428	1216	600	1367	1317	480	820	1747	709	988	918	807	675	567	791	536	497	615	738	606	514	485	478	1063	707	780	308	530	447	531	576	310	1121	1040	445	924	806	1114	712	588	894	1528	1294	1353	468	721	280	777	1124	477
12929	2536	3530	2817	2982	2861	2402	2501	2369	2547	2561	2094	4053	4255	3159	2259	3106	2955	2953	2222	3294	1692	1012	1486	1339	2285	2060	1622	1587	946	1629	1359	2595	1927	2727	1732	1700	1726	1640	1420	1246	1579	2057	1767	2176	2378	1976	2006	2222	2271	4104	3998	4724	2715	2442	1772	1977	1622	2202
13048	1379	3137	1497	1755	2087	2952	1470	1727	990	2078	2115	3007	2530	2131	2193	2152	1677	1364	1193	1294	1414	943	871	757	489	1201	634	755	438	422	560	1830	1842	1163	812	428	429	450	396	312	1004	785	526	997	599	797	449	665	398	2277	2714	2874	780	589	576	451	713	562
13167	321	1684	650	606	527	998	830	346	4	1162	703	1247	319	745	921	719	752	840	713	674	601	402	284	531	577	499	194	229	444	409	283	523	391	444	239	215	258	326	426	327	462	208	297	506	335	181	472	259	376	731	288	297	415	479	177	362	415	501
13286	112	423	53	183	120	102	242	236	0	517	212	288	432	213	462	294	133	257	115	197	200	86	186	161	183	41	75	111	137	129	134	102	93	78	207	109	109	148	69	92	313	269	109	154	205	161	177	211	640	98	188	541	445	273	174	168	191	151
