Barcode	T48_postPURO_B	T48_postPURO_C	Day7_DMSO_A	Day7_DMSO_B	Day7_DMSO_C	Day7_IACS_A	Day7_IACS_B	Day7_IACS_C	Day7_MET_A	Day7_MET_B	Day7_MET_C	Day7_DDP_A	Day7_DDP_B	Day7_DDP_C	Day7_2DG_A	Day7_2DG_B	Day7_2DG_C	Day7_VEN_A	Day7_VEN_B	Day7_VEN_C	T0	T48_postPURO_A	Day14_DMSO_A	Day14_DMSO_B	Day14_DMSO_C	Day14_IACS_A	Day14_IACS_B	Day14_IACS_C	Day14_MET_A	Day14_MET_B	Day14_MET_C	Day14_DDP_A	Day14_DDP_B	Day14_DDP_C	Day14_2DG_A	Day14_2DG_B	Day14_2DG_C	Day14_VEN_A	Day14_VEN_B	Day14_VEN_C	Day21_DMSO_A	Day21_DMSO_B	Day21_DMSO_C	Day21_IACS_A	Day21_IACS_B	Day21_IACS_C	Day21_MET_A	Day21_MET_B	Day21_MET_C	Day21_DDP_A	Day21_DDP_B	Day21_DDP_C	Day21_2DG_A	Day21_2DG_B	Day21_2DG_C	Day21_VEN_A	Day21_VEN_B	Day18_VEN_C
10208	4453	5109	3324	3542	3512	3817	3709	3503	3278	6129	4350	4663	4863	2555	4827	4602	5009	3893	3255	3970	3342	2585	2743	2052	2247	2915	1973	2192	2308	2217	1816	2272	1595	1461	2473	2441	3097	1694	1984	1787	3184	3106	1988	2434	2607	3232	2938	2836	3039	2575	2519	2931	4104	4199	3139	2285	2849	2787
10502	382	480	444	266	283	383	136	380	311	208	181	285	360	351	352	427	517	353	522	154	195	268	232	263	378	295	147	161	76	127	194	195	194	137	84	208	181	148	199	185	207	59	298	289	142	338	199	343	174	336	148	330	243	228	214	126	383	286
10796	1614	3305	929	567	1148	1322	1366	2411	2623	1816	1818	919	432	546	627	958	1251	829	377	463	1395	850	222	175	1	424	153	200	95	342	214	118	169	206	262	128	166	153	81	120	47	155	228	427	55	213	473	682	671	66	94	323	182	284	214	159	139	93
11089	4032	5861	4516	3600	5096	6099	3706	5739	4434	4254	4162	6501	4131	5595	3109	2789	3661	1952	1368	2268	2895	2731	1962	1883	1421	2034	1801	1476	980	1428	1232	1441	2002	1535	903	994	1274	766	599	1082	2582	1748	2349	1363	2434	3283	1048	1649	841	2394	2411	2617	1226	1222	1037	1201	732	1571
11382	572	1306	333	195	233	268	291	828	5	614	361	292	343	424	490	881	518	355	186	265	716	175	91	69	141	53	212	90	187	193	70	81	0	119	87	261	187	151	102	57	188	145	51	104	190	479	13	234	267	745	253	289	426	454	441	92	94	97
11675	8144	11619	10397	8972	12421	12433	10894	10800	8609	15239	12092	12068	10655	9258	9889	11074	8354	10302	7579	9218	6001	5860	5378	5399	7478	8497	5511	5354	7169	7360	7388	4651	3795	4019	4456	4002	4613	4327	3742	4049	6443	6648	5838	8681	8082	10925	11519	11173	12641	5601	5568	5751	5985	4774	4345	5565	5191	5672
11969	4965	6176	6960	5869	7852	6753	6704	6651	4043	5783	5793	10531	8253	6636	6032	5691	5998	6865	5314	5939	3589	2275	3930	4403	4914	5108	3752	3739	2565	2774	2392	3105	2875	3274	3991	3782	4469	2932	2338	2686	4549	5406	5063	5226	5775	7700	3803	3763	4941	4155	3780	4408	6747	6594	5211	5057	3649	4080
12263	1306	2023	1860	1521	1173	1996	1341	1579	1946	2088	2806	1523	760	992	2323	1621	2342	1779	2206	2044	963	699	775	553	825	1214	772	908	703	1021	737	867	658	497	1245	883	1194	778	966	1027	1105	460	591	1038	761	1210	1746	1999	1308	989	994	1262	1938	1304	1020	1307	1285	1199
12555	4784	5550	5540	4640	6275	5567	4002	4862	4094	5455	4956	10517	6702	5594	5272	6563	5143	7311	5825	7793	3463	2549	3728	3609	4595	3616	2558	2233	2212	2394	2455	4341	4065	3947	3529	3562	4108	5986	5512	5773	4383	5270	4799	2861	2796	3816	1610	1729	1981	5651	6595	8393	5528	4886	3324	8105	8767	8341
12847	632	364	298	116	378	291	136	158	35	196	359	408	185	471	231	259	291	277	142	246	375	310	30	69	132	86	67	238	31	70	91	58	94	105	75	159	137	128	100	61	25	81	75	40	51	0	47	72	1	196	170	111	116	82	54	65	61	86
10209	7966	9467	6489	5797	7507	9091	7654	11907	8538	7885	8319	10202	6644	8178	5369	8894	7239	5581	4555	4533	4325	3906	2304	2295	2632	3063	2586	2338	3412	3852	3022	2068	1767	1507	2878	2208	2681	1661	1759	1675	2174	2818	1901	2792	3041	3131	3687	3979	3638	2207	1847	1947	3716	3679	2633	1564	1494	1837
10503	1615	3772	2002	1850	2575	2302	2656	2175	2263	2585	2320	3598	2564	2045	2753	3249	3248	2218	2282	1939	1828	1060	1063	706	1223	1584	965	894	1069	994	1301	1350	888	899	1104	744	1145	676	613	618	925	1434	1330	1090	1196	1183	1645	1125	793	1446	1084	1575	1473	1249	831	729	834	535
10797	1495	2777	2314	1918	2715	2869	1499	1980	2219	2241	1975	5772	3023	3692	1733	2757	2073	3359	2337	2639	1263	728	986	921	1198	1028	1034	1367	793	868	844	1669	1388	1437	1325	1376	1254	833	1104	926	882	1240	767	1640	2051	2054	1173	1366	1736	2478	1570	1806	1871	2201	1615	732	875	1035
11090	899	1633	1060	1311	1001	612	1293	1416	398	1049	1409	1271	843	869	856	852	1332	712	800	1103	609	401	485	492	397	784	485	499	373	496	351	563	439	275	905	1001	687	436	426	581	824	656	799	644	1233	986	494	790	522	675	611	397	1241	1109	635	477	692	788
11383	3941	4028	4176	3938	5212	4379	3992	3363	3951	4201	4095	7158	5251	4938	4941	4484	5637	5793	3849	5643	2308	1573	3252	2962	3588	3752	2079	2179	1883	2299	1748	4240	3712	3098	3012	3113	2767	3516	2786	3183	4708	4848	3729	4175	3580	5338	2730	2468	2498	8311	9339	9273	5543	4680	3294	4890	5376	6536
11676	590	521	974	438	262	502	514	947	1178	748	366	1030	544	729	198	805	642	596	502	336	407	264	319	389	635	462	412	320	402	459	369	400	348	534	351	379	211	647	456	228	737	355	311	800	385	621	396	241	554	963	601	731	600	605	531	883	1074	457
11970	885	1746	567	375	649	1506	592	1387	1250	1166	490	1067	475	543	433	814	609	369	481	239	564	372	282	241	246	224	157	123	239	232	238	124	184	212	162	44	161	80	96	140	156	189	171	106	87	715	100	347	125	22	126	426	115	77	90	69	118	29
12264	1540	1583	1917	1398	1547	2059	1279	1892	906	1457	1330	1352	1215	1015	1194	1082	698	1417	1163	1037	1323	806	468	393	445	871	569	557	360	388	700	343	304	234	488	357	483	400	341	481	238	363	557	492	877	574	743	454	123	393	347	291	487	360	248	470	672	375
12556	938	1032	1400	749	1493	877	925	975	547	1398	1322	2253	2304	1514	966	1187	1296	1719	1275	1778	634	453	943	635	1151	1063	453	690	1032	717	689	986	876	1021	559	834	1246	1298	1294	1546	1337	1235	1783	1205	958	1266	1002	831	442	2066	2260	3284	2285	1912	970	3513	4029	3362
12848	3697	4611	3279	3052	3405	2870	3490	3521	3318	3562	4556	6539	4021	3727	3768	4740	4276	4574	3924	3915	3043	2540	1844	1747	1959	2176	1612	1477	1420	1226	1189	1397	915	1863	1529	1710	1438	1660	1500	1558	1926	1637	2048	1641	1325	1475	1159	1589	1582	1336	1856	1637	2016	1994	1175	1741	1440	2063
10004	399	520	365	478	225	381	342	151	511	530	343	660	256	440	295	616	417	350	144	228	522	269	136	215	115	176	135	202	67	244	171	175	90	152	111	78	107	127	121	78	0	194	136	110	118	180	215	104	70	192	167	339	80	258	187	406	69	26
